example_id,tweet_id,customer_query,provisional_intent,provisional_escalation,provisional_reason,candidate_reviewed_intent,candidate_reviewed_escalation,candidate_reviewed_reason,candidate_reviewed_difficulty,candidate_notes
31,4871,Really considering getting a new kind of phone since my iPhone dies with 90% while using my camera 😤,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard self-serve diagnostic workflow available for battery performance.,,,,,
32,4900,I have and my battery life has become even worse,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard self-serve diagnostic workflow available for battery performance.,,,,,
33,6934,after the new apple updates: the battery life is really go fast and the WiFi is always on!  #newappleupdates,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard self-serve diagnostic workflow available for battery performance.,,,,,
34,8579,"I bought 2 iPhones X on Friday, but I don’t see any charge on my credit card. Do I should worry or it’s normal?",BATTERY_PERFORMANCE,AUTO_HANDLE,Standard self-serve diagnostic workflow available for battery performance.,,,,,
35,9158,It’s showing it’s connected and the battery is decreasing.,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard self-serve diagnostic workflow available for battery performance.,,,,,
36,9160,I got my phone yesterday and it’s already not charging thanks  🙃,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard self-serve diagnostic workflow available for battery performance.,,,,,
37,9169,iOS11.1 consumes battery pretty fast....,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard self-serve diagnostic workflow available for battery performance.,,,,,
38,9827,Damn the new emojis . Will my battery still go from 65% to 40% after one snap?,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard self-serve diagnostic workflow available for battery performance.,,,,,
39,11144,"love how my computer charger just stopped working for literally no reason at all. thanks  you’ve really done it for me this time, sweetie",BATTERY_PERFORMANCE,AUTO_HANDLE,Standard self-serve diagnostic workflow available for battery performance.,,,,,
40,11665,My backup was stored to my MacBook Pro which battery died 2 months ago.,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard self-serve diagnostic workflow available for battery performance.,,,,,
41,12005,No it doesn’t address.  Nothing even included about battery improvement on the SW release notes from what I can see.,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard self-serve diagnostic workflow available for battery performance.,,,,,
42,12602,Why do you keep charging my card for FREE apps? Im not happy at all.,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard self-serve diagnostic workflow available for battery performance.,,,,,
43,15321,"Dear  I’m returning my iPhone 8+ bc its a POS. Screen wont auto lock, battery drains, horrible cell signal. Its crap. Happy 🎃",BATTERY_PERFORMANCE,AUTO_HANDLE,Standard self-serve diagnostic workflow available for battery performance.,,,,,
44,15323,Yo  how come when the IPhone X coming out so soon my phone starts overheating and draining battery when I’m charging it?,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard self-serve diagnostic workflow available for battery performance.,,,,,
45,15433,Anyone else having battery issues in IPhone? Degrading way to fast.,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard self-serve diagnostic workflow available for battery performance.,,,,,
46,25270,my phone died and the little connect charger sign came up and when i got it turned back on it said my battery was half full that’s so cute,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard self-serve diagnostic workflow available for battery performance.,,,,,
47,31860,hey this is the 2nd time I've seen a random $15 charge to my account from itunes on my card and I haven't gotten anything,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard self-serve diagnostic workflow available for battery performance.,,,,,
48,31915,"Hey  can you stop focusing on adding more emojis in updates, and start focusing on how to fix my phone’s battery?",BATTERY_PERFORMANCE,AUTO_HANDLE,Standard self-serve diagnostic workflow available for battery performance.,,,,,
49,33315,Battery dies fast as hell now. Phone always is freezing up and I end up having to wait like 15 minutes for it to get unfreeze,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard self-serve diagnostic workflow available for battery performance.,,,,,
50,33408,I hate it !! The entire format changed! When I receive a call I have to say hello 2x no one hears me the first time battery dies quick 😡,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard self-serve diagnostic workflow available for battery performance.,,,,,
51,756,MY HOME BUTTON DOESN’T WORK #IOS11,HARDWARE_AUDIO_DISPLAY,AUTO_HANDLE,Standard self-serve diagnostic workflow available for hardware audio display.,,,,,
52,1773,"I just get a white screen and nothing loads. After a short time, it just closes/crashes. Thanks for the reply.",HARDWARE_AUDIO_DISPLAY,AUTO_HANDLE,Standard self-serve diagnostic workflow available for hardware audio display.,,,,,
53,2678,"Any idea why icons show up like this? I did force reset to no avail. After initial notification display, they show up.",HARDWARE_AUDIO_DISPLAY,AUTO_HANDLE,Standard self-serve diagnostic workflow available for hardware audio display.,,,,,
54,4889,And the new ones tauntingly pretend they are saved- it’s just when I click on them or try to send them that the grey screen shows,HARDWARE_AUDIO_DISPLAY,AUTO_HANDLE,Standard self-serve diagnostic workflow available for hardware audio display.,,,,,
55,5819,I can’t change lock screen anymore from ‘wallpaper’ in settings. How do I do it now?,HARDWARE_AUDIO_DISPLAY,AUTO_HANDLE,Standard self-serve diagnostic workflow available for hardware audio display.,,,,,
56,6483,Hello   what’s happening to my screen,HARDWARE_AUDIO_DISPLAY,AUTO_HANDLE,Standard self-serve diagnostic workflow available for hardware audio display.,,,,,
57,8553,ya.. i did that way like 3-4times for make my screen finally worked out. whats the causes anw?  what tips to prevent it wont happen again?,HARDWARE_AUDIO_DISPLAY,AUTO_HANDLE,Standard self-serve diagnostic workflow available for hardware audio display.,,,,,
58,8551,ya.lately my screen was disfunction for touch after its been restart. i couldnt enter passcode yet homebutton still figureout my fingerprint,HARDWARE_AUDIO_DISPLAY,AUTO_HANDLE,Standard self-serve diagnostic workflow available for hardware audio display.,,,,,
59,9174,"Bienvenida sea la multi tarea al 3D touch en iphone, gracias   #newupdate",HARDWARE_AUDIO_DISPLAY,AUTO_HANDLE,Standard self-serve diagnostic workflow available for hardware audio display.,,,,,
60,9189,"My screen is lagging, my apps are all glitching, your new screen updates are slowing my processsing speed down. Y’all are killin me fr yo",HARDWARE_AUDIO_DISPLAY,AUTO_HANDLE,Standard self-serve diagnostic workflow available for hardware audio display.,,,,,
61,11134,My Touch ID failed when I restarted my phone. Now it’s not working at all,HARDWARE_AUDIO_DISPLAY,AUTO_HANDLE,Standard self-serve diagnostic workflow available for hardware audio display.,,,,,
62,11641,"Like this. Open the Multitasking screen, swiping up on the WhatsApp app to close it; as seen in the video.",HARDWARE_AUDIO_DISPLAY,AUTO_HANDLE,Standard self-serve diagnostic workflow available for hardware audio display.,,,,,
63,11639,"I get this message when I close the app. When I touch it I get into the app, but getting this when closing the app is annoying.",HARDWARE_AUDIO_DISPLAY,AUTO_HANDLE,Standard self-serve diagnostic workflow available for hardware audio display.,,,,,
64,18871,"the screen had green lines on one side and then stopped working altogether. Afraid I can't remember the OS, I expect it was in the latest OS when it broke about 8 weeks ago if hat helps?",HARDWARE_AUDIO_DISPLAY,AUTO_HANDLE,Standard self-serve diagnostic workflow available for hardware audio display.,,,,,
65,18872,"the screen on our iPad Pro has stopped working 😔. I've read a few articles about weak screens on some models - is there anywhere I can check the model number, or will it be a £400 repair bill? Thanks",HARDWARE_AUDIO_DISPLAY,AUTO_HANDLE,Standard self-serve diagnostic workflow available for hardware audio display.,,,,,
66,23077,"ok not sure why this is happening but I need assistance charged my iPhone X (purchased yesterday) wirelessly and reached for it and this was on the screen, I could probably fry an egg",HARDWARE_AUDIO_DISPLAY,AUTO_HANDLE,Standard self-serve diagnostic workflow available for hardware audio display.,,,,,
67,23107,"All website. I can record with audio. The recording are playing well in Photos and the sound is ok. But when I import them in iMovie, the sound doesn’t follow. Only if I was in Safari when I made the screen recording",HARDWARE_AUDIO_DISPLAY,AUTO_HANDLE,Standard self-serve diagnostic workflow available for hardware audio display.,,,,,
68,23176,The music app. Press on the icon and I get flash of a a black screen before returning to home. Have rebooted and reset,HARDWARE_AUDIO_DISPLAY,AUTO_HANDLE,Standard self-serve diagnostic workflow available for hardware audio display.,,,,,
69,27331,force touch for app multitask gone in iOS11 ?,HARDWARE_AUDIO_DISPLAY,AUTO_HANDLE,Standard self-serve diagnostic workflow available for hardware audio display.,,,,,
70,31454,"Thanks! I guess I know the reason why.Wherever u put the assistive touch up,down,middle &amp; when pressed is also where the control center is.",HARDWARE_AUDIO_DISPLAY,AUTO_HANDLE,Standard self-serve diagnostic workflow available for hardware audio display.,,,,,
71,31875,This is self explanatory screen shot of one of example of hanging,HARDWARE_AUDIO_DISPLAY,AUTO_HANDLE,Standard self-serve diagnostic workflow available for hardware audio display.,,,,,
72,31964,shards of glass literally stabbed me when my screen broke. Fuck you apple I phone.,HARDWARE_AUDIO_DISPLAY,AUTO_HANDLE,Standard self-serve diagnostic workflow available for hardware audio display.,,,,,
73,32433,My iPhone screen glass is completely cracked. Still the touch screen works. Can I change the glass alone or the display too?,HARDWARE_AUDIO_DISPLAY,AUTO_HANDLE,Standard self-serve diagnostic workflow available for hardware audio display.,,,,,
74,33355,"(Saurabh at Singapore, kindly get in touch with your team to brief what you said, they are coming up with new stories #macbook",HARDWARE_AUDIO_DISPLAY,AUTO_HANDLE,Standard self-serve diagnostic workflow available for hardware audio display.,,,,,
75,33384,"- what is up with the letter “eye” button ?! for like a 4 days now, the letter “eye” has been turning into this i️ 😐",HARDWARE_AUDIO_DISPLAY,AUTO_HANDLE,Standard self-serve diagnostic workflow available for hardware audio display.,,,,,
76,1764,"Hello, I need some help regarding the region change on my Apple ID",ACCOUNT_APPLE_ID_ICLOUD,AUTO_HANDLE,Standard self-serve diagnostic workflow available for account apple id icloud.,,,,,
77,8297,Hello there i need help with the use of an administartors name and password on my imac,ACCOUNT_APPLE_ID_ICLOUD,ESCALATE,Account authentication or security lockout requires verified identity handoff.,,,,,
78,8437,suck! Upgrade phone &amp; I lose my Apple ID. Can’t get new id without old &amp; can’t book Genius bar help appointment without ID!!! #stupid,ACCOUNT_APPLE_ID_ICLOUD,AUTO_HANDLE,Standard self-serve diagnostic workflow available for account apple id icloud.,,,,,
79,14337,So over  &amp; their awful customer service. Locked out of iCloud for 2 weeks &amp; promised password recovery instructions that never came🖕🏽,ACCOUNT_APPLE_ID_ICLOUD,ESCALATE,Account authentication or security lockout requires verified identity handoff.,,,,,
80,15722,"6 years later I still can’t access Contacts on iCloud, what do we need to do to finally get this fixed, ? //cc",ACCOUNT_APPLE_ID_ICLOUD,AUTO_HANDLE,Standard self-serve diagnostic workflow available for account apple id icloud.,,,,,
81,31435,"Just used your ""chat"" portion on help, it won't let me chat with anyone. My apple ID has been very buggy",ACCOUNT_APPLE_ID_ICLOUD,AUTO_HANDLE,Standard self-serve diagnostic workflow available for account apple id icloud.,,,,,
82,31873,My iPhone just signed itself out of iCloud and I lost all of my synced contacts when I tried to sign back in.,ACCOUNT_APPLE_ID_ICLOUD,AUTO_HANDLE,Standard self-serve diagnostic workflow available for account apple id icloud.,,,,,
83,32379,"Hey  , not sure you tested EVERYTHING when implementing the ability to switch #iCloud account emails!",ACCOUNT_APPLE_ID_ICLOUD,AUTO_HANDLE,Standard self-serve diagnostic workflow available for account apple id icloud.,,,,,
84,32400,Yes. I read and did that. I get a message that says I cannot change my Apple ID to an email ending in . Which is contrary to the document,ACCOUNT_APPLE_ID_ICLOUD,AUTO_HANDLE,Standard self-serve diagnostic workflow available for account apple id icloud.,,,,,
85,32401,Hey  I heard I can change my Apple ID to my  email but when I try it says nope. What gives? Spent an hour signing out &amp; in.,ACCOUNT_APPLE_ID_ICLOUD,AUTO_HANDLE,Standard self-serve diagnostic workflow available for account apple id icloud.,,,,,
86,34586,The latest version of iTunes for Windows keeps asking for my password and sometimes gets stuck in a loop.,ACCOUNT_APPLE_ID_ICLOUD,ESCALATE,Account authentication or security lockout requires verified identity handoff.,,,,,
87,35243,oh dear  still not co-oping with iCloud in ios11.1 really really poor show. #garageband,ACCOUNT_APPLE_ID_ICLOUD,AUTO_HANDLE,Standard self-serve diagnostic workflow available for account apple id icloud.,,,,,
88,36091,I recently deleted some emails on my iCloud &amp; I expected it to be in the Trash... but upon checking it got permanently deleted,ACCOUNT_APPLE_ID_ICLOUD,AUTO_HANDLE,Standard self-serve diagnostic workflow available for account apple id icloud.,,,,,
89,36626,"Hi there, my iPhone 6S plus can’t do backup for it, not by iCloud and iTunes , any way to fix it ,thanks",ACCOUNT_APPLE_ID_ICLOUD,AUTO_HANDLE,Standard self-serve diagnostic workflow available for account apple id icloud.,,,,,
90,38870,My iPad 2 has locked. Wrote to the M.D. and he did sod all. Gonna buy android from now. Suggest you all do the same,ACCOUNT_APPLE_ID_ICLOUD,ESCALATE,Account authentication or security lockout requires verified identity handoff.,,,,,
91,38893,would I ever receive a txt saying my apple account had been locked and a link to a website to verify it? Seems odd!,ACCOUNT_APPLE_ID_ICLOUD,ESCALATE,Account authentication or security lockout requires verified identity handoff.,,,,,
92,40519,hi so I got an email my account was locked. But I’m pretty sure it was a fake.,ACCOUNT_APPLE_ID_ICLOUD,ESCALATE,Account authentication or security lockout requires verified identity handoff.,,,,,
93,40528,"Other site works on Safari, and at the same time icloud login also works perfectly fine in Chrome",ACCOUNT_APPLE_ID_ICLOUD,AUTO_HANDLE,Standard self-serve diagnostic workflow available for account apple id icloud.,,,,,
94,40558,"Hey  just got a fake email from u, telling me someone accessed my iCloud, &amp; if it wasn't me to use a link provided. Just saying 🤦🏼‍♀️",ACCOUNT_APPLE_ID_ICLOUD,AUTO_HANDLE,Standard self-serve diagnostic workflow available for account apple id icloud.,,,,,
95,41553,I couldn’t. A box came up and it looked like it hadn’t loaded properly. Looked like it wanted by Apple ID but nowhere to type it in,ACCOUNT_APPLE_ID_ICLOUD,AUTO_HANDLE,Standard self-serve diagnostic workflow available for account apple id icloud.,,,,,
96,41556,locked out of my iPad. Followed instructions but it hasn’t worked. Please help. Also I want to turn this feature off,ACCOUNT_APPLE_ID_ICLOUD,ESCALATE,Account authentication or security lockout requires verified identity handoff.,,,,,
97,41558,Can you pair 2 AirPods to one iCloud account?,ACCOUNT_APPLE_ID_ICLOUD,AUTO_HANDLE,Standard self-serve diagnostic workflow available for account apple id icloud.,,,,,
98,41650,Hey  my iCloud mail is getting hammered with spam. Did you turn off filters? Under attack? LMK.,ACCOUNT_APPLE_ID_ICLOUD,AUTO_HANDLE,Standard self-serve diagnostic workflow available for account apple id icloud.,,,,,
99,42592,I’m clearly not having a good day when all my pictures on the iCloud Drive got corrupted. #AppleNews #AppleTips #AppleSucks,ACCOUNT_APPLE_ID_ICLOUD,AUTO_HANDLE,Standard self-serve diagnostic workflow available for account apple id icloud.,,,,,
100,42643,Thank you. Twitter didn’t notify me of your reply :( so restored phone &amp; ok now. Was phone storage not iCloud.,ACCOUNT_APPLE_ID_ICLOUD,AUTO_HANDLE,Standard self-serve diagnostic workflow available for account apple id icloud.,,,,,
101,8420,Chat doesn’t seem to work in Germany. On the order page I cannot leave comments …,STORE_ORDER_BILLING,AUTO_HANDLE,Standard self-serve diagnostic workflow available for store order billing.,,,,,
102,8422,"Dear , I have an online order which I never received - who can I talk to?",STORE_ORDER_BILLING,AUTO_HANDLE,Standard self-serve diagnostic workflow available for store order billing.,,,,,
103,9195,I bought an iPhone 8 with AppleCare+. Wanting to return the iPhone 8. What happens with the AppleCare+?,STORE_ORDER_BILLING,AUTO_HANDLE,Standard self-serve diagnostic workflow available for store order billing.,,,,,
104,18835,"Ur customer support wants me to speak to another repair center to see if they’ll quote a lesser price! I mean, REALLY!! Gotta be kidding me. I used to swear by Apple Customer Service. Is this the best that you guys can do now?",STORE_ORDER_BILLING,AUTO_HANDLE,Standard self-serve diagnostic workflow available for store order billing.,,,,,
105,22988,"Trying to download an app to a family member's phone that I purchased as the family group organizer.  Being asked to purchase it, but I don't want to be charged again.  Suggestions?",STORE_ORDER_BILLING,ESCALATE,Financial charge dispute or transaction reversal requires private billing agent.,,,,,
106,23100,", why do I keep getting charged over £20 for anything I buy from iTunes? Bought an album for £4.99 and got charged £20.67. Same thing happened a couple of weeks ago to. Why?!",STORE_ORDER_BILLING,ESCALATE,Financial charge dispute or transaction reversal requires private billing agent.,,,,,
107,31436,"trying to cancel an online order, each time I login i'm told I don't have access to the order.",STORE_ORDER_BILLING,AUTO_HANDLE,Standard self-serve diagnostic workflow available for store order billing.,,,,,
108,34703,My Q was: How was the delivery date in the cart 2 wks earlier than what’s on my receipt? #ServiceRecovery #SupplyChain #1standlastpreorder,STORE_ORDER_BILLING,AUTO_HANDLE,Standard self-serve diagnostic workflow available for store order billing.,,,,,
109,35976,You guys over charged me on iTunes  and I want my money back I’m really upset,STORE_ORDER_BILLING,ESCALATE,Financial charge dispute or transaction reversal requires private billing agent.,,,,,
110,35979,You guys over charged me on music I bought on iTunes and I want my money back I’m mad as hell,STORE_ORDER_BILLING,ESCALATE,Financial charge dispute or transaction reversal requires private billing agent.,,,,,
111,38869,Already been told that nothing can be done cos I bought it via my design agency even though I have a receipt Your U.K. MD has avoided me.,STORE_ORDER_BILLING,AUTO_HANDLE,Standard self-serve diagnostic workflow available for store order billing.,,,,,
112,39623,where is all my music that was in my library? and why do i have to renew my subscription?,STORE_ORDER_BILLING,AUTO_HANDLE,Standard self-serve diagnostic workflow available for store order billing.,,,,,
113,39644,hey guys any news on why Apple Pay isnt working. Is this a global issue or just UK?,STORE_ORDER_BILLING,AUTO_HANDLE,Standard self-serve diagnostic workflow available for store order billing.,,,,,
114,39668,"PT1.  I pre-approved my iPhone X then ordered it at 301 am, your database is shipping the phone to a fake address due to a typo",STORE_ORDER_BILLING,AUTO_HANDLE,Standard self-serve diagnostic workflow available for store order billing.,,,,,
115,41589,"At the apple store in Paris, can I buy an iPad by paying half in cash and half in credit card?",STORE_ORDER_BILLING,AUTO_HANDLE,Standard self-serve diagnostic workflow available for store order billing.,,,,,
116,46574,"hello, my iPhone X order says it’s “prepearing to ship” since saturday and it still hasnt changed it’s status.. what happened?",STORE_ORDER_BILLING,AUTO_HANDLE,Standard self-serve diagnostic workflow available for store order billing.,,,,,
117,47995,"hi there, I need to inquire something regarding he refund of an item",STORE_ORDER_BILLING,ESCALATE,Financial charge dispute or transaction reversal requires private billing agent.,,,,,
118,50592,I find it a little weird how  created glitches in our phones in order to get us to buy a new phone. I’m not buying nothing but you WILL fix my phone.,STORE_ORDER_BILLING,AUTO_HANDLE,Standard self-serve diagnostic workflow available for store order billing.,,,,,
119,57488,"Hi, do you have french support ?
I want to change my delivery address on an order placed
Thanls",STORE_ORDER_BILLING,AUTO_HANDLE,Standard self-serve diagnostic workflow available for store order billing.,,,,,
120,58798,I order my phone at 3:01 27th get a confirmation from Best Buy I’m getting my phone on 11/3 now they said that’s not true!,STORE_ORDER_BILLING,AUTO_HANDLE,Standard self-serve diagnostic workflow available for store order billing.,,,,,
121,58842,Still no shipping confirmation from   on my phone yet 🤔😒,STORE_ORDER_BILLING,AUTO_HANDLE,Standard self-serve diagnostic workflow available for store order billing.,,,,,
122,61074,no shipping confirmation on my X. Hoping it’s not an issue I should be conflcerned with,STORE_ORDER_BILLING,AUTO_HANDLE,Standard self-serve diagnostic workflow available for store order billing.,,,,,
123,61323,I accidentally bought something is there anyway I can get a refund,STORE_ORDER_BILLING,ESCALATE,Financial charge dispute or transaction reversal requires private billing agent.,,,,,
124,33365,"Yes, My phone does not stay charged like before",STORE_ORDER_BILLING,ESCALATE,Financial charge dispute or transaction reversal requires private billing agent.,,,,,
125,67418,Why is it that i have been waiting for almost a month for a refund of a returned item i paid cash for in the first place? Where is my money?,STORE_ORDER_BILLING,ESCALATE,Financial charge dispute or transaction reversal requires private billing agent.,,,,,
126,2642,still no reliable Bluetooth on my iPhone 8+.,CONNECTIVITY_SYNC,AUTO_HANDLE,Standard self-serve diagnostic workflow available for connectivity sync.,,,,,
127,2659,Is anyone else having problems with there iPhone 7 saying no service?,CONNECTIVITY_SYNC,AUTO_HANDLE,Standard self-serve diagnostic workflow available for connectivity sync.,,,,,
128,4879,I can’t download songs. Progress icon keeps spinning. On both data + WiFi. Stream works though. Can’t add songs to playlists.,CONNECTIVITY_SYNC,AUTO_HANDLE,Standard self-serve diagnostic workflow available for connectivity sync.,,,,,
129,4906,The ‘Overlapping url over TIME on Free WiFi hotspots’ remains. v11.0.3. Not a WiFi problem; two different hotspots shown.,CONNECTIVITY_SYNC,AUTO_HANDLE,Standard self-serve diagnostic workflow available for connectivity sync.,,,,,
130,9840,"mi iPhone no se puede conectar a la red wifi privadas pero si a las free, que hago 😢",CONNECTIVITY_SYNC,AUTO_HANDLE,Standard self-serve diagnostic workflow available for connectivity sync.,,,,,
131,13588,Why do I need a sim card when I’m joined to the WiFi? I’m only using this phone to test websites.,CONNECTIVITY_SYNC,AUTO_HANDLE,Standard self-serve diagnostic workflow available for connectivity sync.,,,,,
132,15313,3rd pair of  ear shaped earbuds to go bad in the left side. I am currently deaf in one ear after a workout #SaveMyRightEar,CONNECTIVITY_SYNC,AUTO_HANDLE,Standard self-serve diagnostic workflow available for connectivity sync.,,,,,
133,23084,I have tried it on different WiFi and cell data. It seems to not work. Then quite some time after I have tired to download it will pop up multiple times to allow it to download then later it downloads out of no where. So it’s strange.,CONNECTIVITY_SYNC,AUTO_HANDLE,Standard self-serve diagnostic workflow available for connectivity sync.,,,,,
134,25424,Bluetooth connection iPhone X to Infiniti is terrible. Garbled and scratchy cutting in and out &gt;30% of time. Didn't happen W iPhone 6!!,CONNECTIVITY_SYNC,AUTO_HANDLE,Standard self-serve diagnostic workflow available for connectivity sync.,,,,,
135,31940,HEY  WHY IS MY BLUETOOTH CONSTANTLY TURNING ITSELF ON BY ITSELF I WANT ANSWERS,CONNECTIVITY_SYNC,AUTO_HANDLE,Standard self-serve diagnostic workflow available for connectivity sync.,,,,,
136,32376,"Oye , muy bonitos tus nuevos emojis pero, ¿para cuando el poder desactivar (REAL) el Wifi y el Bluetooth desde el CC?",CONNECTIVITY_SYNC,AUTO_HANDLE,Standard self-serve diagnostic workflow available for connectivity sync.,,,,,
137,34592,"I managed to get LTE last night, spent some time until the connection was fast. Thought the issue solved by itself, but it happened again.",CONNECTIVITY_SYNC,AUTO_HANDLE,Standard self-serve diagnostic workflow available for connectivity sync.,,,,,
